artist,song,line
Masta Ace,Me  the Biz,"Yo, I'm the B-I-Z-M and, like a lot of women"
Masta Ace,Me  the Biz,So I still produce Def Jams like my name was Ricky Rubin
Masta Ace,Me  the Biz,You run your rhymes like a horse and force and
Masta Ace,Me  the Biz,"Keep the place jumping, get it wild like a zoo"
Snoop Dogg,Raised in da Hood,"My life is like a movie, I was thuggin in the beach when I lit my first doobie"
Eminem,Give Me the Ball,"My name is Chauncey Billups, I'm kind of like a raunchy Phillips"
Eminem,Give Me the Ball,I get the crowd rolled up like a U-Haul truck
Childish Gambino,You Know Me,"All I trust is money, fuck these niggas like the Crying Game"
Childish Gambino,You Know Me,"I kiss her hard and hit the jet, I make out like a bandit"
Childish Gambino,Let Me Dope You,A nigga fucked up like a hang gliding whore house
Childish Gambino,Let Me Dope You,"Watch the swagga get swiped like a card, bottom"
Childish Gambino,Let Me Dope You,"I'm in a spa, white robe like a racist"
Childish Gambino,Let Me Dope You,I never fit in like my penis in these tiny girls
Childish Gambino,Do Ya Like,Slamming that thing like a Cadillac door
Childish Gambino,Glory,These guys don't seem like the friends I need
Shyne,Diamonds and Mac 10s,Every word like a mirror
Slaughterhouse,Everybody Down,"Nobody can see me, I’m pissed off like my pee-pee"
Britney Spears,Oops... I Did It Again,"Oh, baby, it might seem like a crush"
Earl Sweatshirt,Thisniggaugly,This nigga's lips look like a split sundae
Earl Sweatshirt,Thisniggaugly,"Yo this nigga, this nigga look like a African poet"
Earl Sweatshirt,Thisniggaugly,Yo this nigga's forehead looks like a fuckin' big-ass moose
Fabolous,Taking Pictures,"Nigga the god a star, Shinin like a?"
Fabolous,Taking Pictures,I'm fresh man like the 1st year of high school
Fabolous,Taking Pictures,Ya hear clappin like the Hova show at madison square
Fabolous,Taking Pictures,"I make my change in the booth, I'm like a pay phone"
Pharrell Williams,Can I Have It Like That,"Fly, I'm like a bird like Nelly Furtado"
Pharrell Williams,Can I Have It Like That,"And let 'em explore the words, something like a tourist"
Pharrell Williams,Can I Have It Like That,"It's just like her body, move, it turns her on"
Pharrell Williams,Can I Have It Like That,She like the way my hands use her body for hand warmers
Talib Kweli,The Proud,"Shoot you in the back, won't face you like a soldier"
Laws,Hold You Down Remix,Just running like a sprinter
Laws,Hold You Down Remix,I keep them coming back like a recidivist
Laws,Hold You Down Remix,And I'm sticking to my guns just like a pistol grip
Laws,Hold You Down Remix,I'm on some tell-it-all shit like the Boondocks
50 Cent,Old 2003 Ferrari,Niggas say they like my old shit
50 Cent,Old 2003 Ferrari,Niggas say they like my old shit
50 Cent,Old 2003 Ferrari,Niggas say they like my old shit
Blu & Exile,Simply Amazin,I've conquered all you haters like a strong-armed dominator
Blu & Exile,Simply Amazin,I make y'all niggas see the light like a bright idea
Blu & Exile,Simply Amazin,So you can act like a fool
Blu & Exile,Simply Amazin,Exposin' what you holdin' like your soul don't matter
Lil Wayne,Dedication 2,"Shiny, black coupe, at night, look like a goblin (Gangsta!)"
Lil Wayne,Dedication 2,"Shiny, black coupe, at night, look like a goblin"
Lil Wayne,Dedication 2,Watch me let it spray like a hydrant—can't dodge it
Tyga,Really Raw,"Get your money man, like my uncle told me"
Tyga,Really Raw,"Ever seen piranha, it’s like the movie jaws again"
Tyga,Really Raw,Roll on you like a joint
Tyga,Really Raw,I come in peace like a hippie
Slaughterhouse,Cut You Loose,It's like a love-hate relationship
Slaughterhouse,Cut You Loose,My skills be on point like a flying dart
Slaughterhouse,Cut You Loose,Sometimes I feel like the messiah of a dying art
TQ,Wisdom in Theory,Like a good girl gone bad
TQ,Wisdom in Theory,Like a good boy gone mad
TQ,Wisdom in Theory,Livin’ like a tick on the past
Immortal Technique,Positive Balance,The Zoo adds on like a plus sign
Immortal Technique,Positive Balance,Splittin' and dividin' on numbers like a denominator
Immortal Technique,Positive Balance,Splittin' and dividin' on numbers like a denominator
Jedi Mind Tricks,I Against I,That'll blast divine like the heavenly psalm
Jedi Mind Tricks,I Against I,All hell breaks loose like a mall with no security
Jedi Mind Tricks,I Against I,"Illadelph is like the Sun, 'cause we shine with rhymes"
Jedi Mind Tricks,I Against I,The underground is like the Moon: you only see us at times
Jedi Mind Tricks,I Against I,"Illadelph is like the Sun, 'cause we shine with rhymes"
Jedi Mind Tricks,I Against I,The underground is like the Moon: you only see us at times
Jedi Mind Tricks,I Against I,We stand one step above you like a pharmacist
Jedi Mind Tricks,I Against I,"I spit a psalm, create bombs like an Iraqi"
Jedi Mind Tricks,I Against I,"Illadelph is like the Sun, 'cause we shine with rhymes"
Jedi Mind Tricks,I Against I,The underground is like the Moon: you only see us at times
Blak Twang,So Rotton,"I'm droppin' the programme like a microfish, check this"
Blak Twang,So Rotton,"Before you ask why, am I gettin' high like my blood pressure"
Blak Twang,Real Estate Radio Remix,"Oi! I'm in the house like a squatter, my gate's in New Cross"
Blak Twang,Real Estate Radio Remix,My premises is like the Nemesis at Alton Towers
KRS-One,MCs Act Like They Dont Know,I go on like a space age rocket ship
KRS-One,MCs Act Like They Dont Know,Some MC's don't like the KRS but they must respect him
KRS-One,MCs Act Like They Dont Know,"Wide, magnified, live like the ocean tide"
Get Away,J.Cole,See life is like a test that I ain't never got no “F” in
Get Away,J.Cole,Me vs you shining is like a diamond and silverware
Get Away,J.Cole,"I say, “ Girl they wasn’t kidding like your tubes tied up”"
Get Away,J.Cole,"Your acting like your trill, nigga you bet not!"
Plies,Becky,I love Becky like my jewels
J. Cole,Get Away,See life is like a test that I ain't never got no F in
J. Cole,Get Away,"Me verse you shining, that's like a diamond and silverware"
Blaze Ya Dead Homie,Grave Aint No Place,"The grave ain't no place to be, too much like the penetentary"
Blaze Ya Dead Homie,Grave Aint No Place,I got you creasin' in my pocket like a folded up rap
Blaze Ya Dead Homie,Grave Aint No Place,"Dashin' off like a theif in the night, to me it was right"
Blaze Ya Dead Homie,Hatchet Execution,I'm stompin' thru yo' city like a little Godzilla
Blaze Ya Dead Homie,Hatchet Execution,I go juggaloco like a crazy assassin
MF DOOM,Rap Ambush,"Ride calm, flow was like a roadside bomb (Woo)"
Gucci Mane,Bite Me,"Watch them chest and the mouth like a mad, got more bags in his stash"
ILL BILL,Babylon,Demand attention like a knife in your throat
Jedi Mind Tricks,Heavy Metal Kings,"I bleed in a fight, Vinnie like the taste of his blood"
Jedi Mind Tricks,Heavy Metal Kings,And I'll open up your stomach like the case of a slug
Trey Songz,Cant Help But Wait Lil Wayne Remix,And somethin as wide as a sony flat screen
Trey Songz,Cant Help But Wait Lil Wayne Remix,I can make it sound like a little teapot
Bloods & Crips,Bangin on Wax,Two to the head now he retarted like a Simpson
Bloods & Crips,Bangin on Wax,C-sick flamin' like a light from a Bic
Bloods & Crips,Bangin on Wax,You wind up like the Ten Deuce Rice Crispies
Bloods & Crips,No Way Out,It's different types of Crabs like the ones that make ya - itch
Bloods & Crips,No Way Out,As soon as his Crab-ass party I have to crash
Bloods & Crips,No Way Out,"Now, I'm creepin' through the alley like a shadow ready for battle"
Bloods & Crips,Cant Stop Wont Stop,I'm goin' out like a soldier C and the M
Bloods & Crips,Every Dog Has His Day,You get gaffled like a bitch if you chit chat
Bloods & Crips,Every Dog Has His Day,?And win their daughters like a Watts Loc Vietnam
Bloods & Crips,Gs  Locs,"I'm puttin' in work, smokin' a Crab like a bigarette"
Bloods & Crips,Gs  Locs,It's like a nightmare on Elm street when I creep
Bloods,Gangsta Shit,"Mobbin' down the 3rd, flamed up like a fire truck"
Bloods,Gangsta Shit,And now I'm feelin' like the king of the planet
Bloods & Crips,Set Trippin,"Blood, me gangsta from me hood, me killin' never like a slut"
Bloods & Crips,Set Trippin,Or me can do the ?? because them snitch like a ??
Bloods & Crips,Set Trippin,But you done pushed me to my limit like a muthafuckin credit card
Bloods & Crips,Set Trippin,Mark-ass Crabs droppin shit like a Sega
King Los,Dark Fantasy,‘Cause I school that ass like a Princeton professor
Outasight,Dizzy,Like an orange quarter water and a fifth of gin
Outasight,Good Evening Dream Big,"No freebies, staying alive like the bee gees"
Bloods,East Side Rip Ridaz,Nigga be talkin' that shit while gettin' jacked like a stank ho
Bloods & Crips,Crip 4 Life,Well now I'm creepin' on your ass like a motherfuckin' frogman
Bloods & Crips,Crip 4 Life,Sort of like a dump truck
Bloods & Crips,Crip 4 Life,Like the red card
Bloods & Crips,Crip 4 Life,It's like a dream
Bloods & Crips,Steady Dippin Remix,One-Time'll get checked like a trick
Bloods & Crips,Steady Dippin Remix,Be pluggin' on off brands like a plug socket
Fort Minor & Styles of Beyond,Dolla,Sneaking heat up in the club like a flask of whisky
Odd Future,Double Cheeseburger,"Shoot for the sky like a church league, y'all heard me"
Odd Future,Double Cheeseburger,Just like a cannon from the teen in Nick
Odd Future,Double Cheeseburger,We're back like a black bitch's hairline indent
Odd Future,Double Cheeseburger,"I get it crackin' like the lips of a nigga, actor"
Bloods & Crips,Slob B.K.O.,Put a nigga on chill and knock his ass out like a rock
Bloods & Crips,Slob B.K.O.,And drop him right like a bad habit
Bloods & Crips,Slob B.K.O.,Hate a Slob like a Muslim on the KKK
Bloods & Crips,Slob B.K.O.,"Mad like a motherfucker, so I had to blast first"
Bloods & Crips,Slob B.K.O.,"But we connecting, so they falling like a rainstorm"
Bloods,Dont Stress Me,Smoke that ass like a motherfucking deuce on get loose
Bloods,Dont Stress Me,"Chillin' like a Villain so Blood don't stress me, stress me"
Bloods & Crips,Wish You Were Here Remix,And I'll be scopin' like a sharpshooter with the 30-06
Bloods & Crips,Wish You Were Here Remix,To the day that I die like my homies did
RZA,Domestic Violence,"Stains on my carpet, bathroom's more like a fish market"
RZA,Domestic Violence,Your stretch marks look like the US highways
Juelz Santana,Home Run,I’m international like my fucking visa
Soulja Boy,Turn My Swag On Remix,"I'm Louie V down, like a Louie V chameleon"
Soulja Boy,Turn My Swag On Remix,"White Benz, chrome wheels like a napkin on a nickel"
Outasight,Fame And Fortune Remix,"It’s like falling free, don’t it seem like everyone’s dream like your current dream?"
Petey Pablo,Freak-A-Leek Remix,I suggest you get you one cause ain't nothin' like a
Ghostface Killah,Assassination Day,"First of all before we move on, this shit is like a Yukon, don"
Ghostface Killah,Assassination Day,"Using this just like an adverb, action word, flowing like a blackbird"
Ghostface Killah,Assassination Day,"No, you won't play me like your lady"
Ghostface Killah,Assassination Day,"Pay me 380, spit it at you like a baby, final destination, Hades"
Tech N9ne,In the Trunk,When a bitch talkin' crazy like a lost man's chump
50 Cent,All of Me,"Your body is calling me, got me feeling like a fiend on crack"
50 Cent,All of Me,You should feel like a lifer that get back that time
Alyssa Marie & ENVY,What Up,"So I leave 'em to play, while I deal it as mean as an ace"
Alyssa Marie & ENVY,What Up,I feel like a million dollars with only fifty in pocket
Alyssa Marie & ENVY,What Up,"Smilin' like a doughnut, y’all know its a cold slut"
50 Cent,Amusement Park,"I started out a pimp, now I'm more like a mac"
Lil Wayne,Zoom Freestyle,Sound like a T-Rex live under my hood
Lil Wayne,Zoom Freestyle,"I'm like a linebacker, don't run it by me"
Lil Wayne,Zoom Freestyle,You gon' need it like a muhfucker
Lil Wayne,Zoom Freestyle,And I am so New Orleans like a muhfucker
Lil Wayne,Zoom Freestyle,"They like the way I ball, they call me hot sauce"
Lil Wayne,Zoom Freestyle,"I don't rap, I just shit like a newborn"
Lil Wayne,Zoom Freestyle,"I don't write, I just spit like a tooth gone"
Lil Wayne,Zoom Freestyle,So tell them haters cut it out like a coupon
Lil Wayne,Zoom Freestyle,How come that chopper sound like a nuke bomb?
Lil Wayne,Zoom Freestyle,I'm on your heels like a shoe horn
Jedi Mind Tricks,Blood In Blood Out,"You just a heathen, and you lie like the church do"
Immortal Technique,Creation  Destruction,"You'll never be at peace, like the souls of child molesters"
Immortal Technique,Creation  Destruction,"I'll rip you down, take a chunk of you home, like the Berlin Wall"
Immortal Technique,The Illest,Rhyme documents infamous like the Bill of Rights
Immortal Technique,The Illest,"Illa tight, havin' niggas open like the thrill of dykes"
Immortal Technique,The Illest,"Ever, flow like a river, fuck your girl like a nigga, what"
Immortal Technique,The Illest,And that's why usually I hold the mic like a 9
Immortal Technique,The Illest,And we about to blow like the Oklahoma Federal Building
Immortal Technique,The Illest,I spit heat like the deserts of Saudi Arabia
Immortal Technique,The Illest,And I treat the law in this country like a motherfuckin' joke
Immortal Technique,Locked Up Freestyle,I feel like the spirit of Nat Turner got into me
Jedi Mind Tricks,Tibetan Black Magicians,"I start from your forehead, peel the top of your fucking face off like an orange then eat the carnage"
Jedi Mind Tricks,Tibetan Black Magicians,Protecting Rap like the exoskeleton of a Lobster
Jedi Mind Tricks,Tibetan Black Magicians,Cos you a devil like the Canaanite in Sackcloth
Wu-Tang Clan,16th Chamber,"Not sayin Ason, is like a duck of disco"
K'naan,Boxing My Shadow,It's like a drug filled rock n roll documentary
K'naan,Boxing My Shadow,It's like the possibility of making it in the industry is just around the corner now
K'naan,Boxing My Shadow,"It's just about your ability, but see it's like an enigma"
Kid Cudi,Whenever,Laid back so gentle like the violins
EPMD,Headbanger,"I'm bugged like a tapped phone, hard like concrete"
EPMD,Headbanger,"Walk like an Egyptian, but packin' my steel"
EPMD,Headbanger,"As taught as a kid or told, NEVER TALK TO A STRANGER"
EPMD,Headbanger,"I Rock ya like Chubb, and burn scrubs like a dum-dum"
EPMD,Headbanger,"Like A plus funk, funk times stuffed in your back trunk PUNK"
Kool Moe Dee,How Ya Like Me Now,"Just like a home run, slammin' like a slam dunk"
Kool Moe Dee,How Ya Like Me Now,Now brothers are riding me like a pony
Kool Moe Dee,How Ya Like Me Now,I'm like a lion that's been trapped inside a cage
Kool Moe Dee,How Ya Like Me Now,"Schemin' like a demon, you're screamin' and dreamin'"
Kool Moe Dee,How Ya Like Me Now,"Just like a waiter, hit 'em with a plate of"
Kool Moe Dee,How Ya Like Me Now,"So I'm puttin' you on punishment, just like a child"
The ReJ3ctz,Cat Daddy,Move your arms like your wheel chair stunt'n
The ReJ3ctz,Cat Daddy,I block a hater like a goalie
The ReJ3ctz,Cat Daddy,Checks in effect ashy neck like a rollie
The ReJ3ctz,Cat Daddy,Yea I'm crackin' like a newborn rooster
The ReJ3ctz,Cat Daddy,"Blow like a champ, dog. Smokin' like a chimney"
E-40,White Gurl,"She white, she bright, she shine like a pearl (Pearl)"
E-40,White Gurl,But nothing bring the bread back like a Caucasian
E-40,White Gurl,You already know they eat nuts like a squirrel
Masta Killa,Silverbacks,"They keep talkin', like the Rebel might slow up"
Freck Billionaire,39-1,Bitches better think twice like a second guess
Laws,Overtime,"Kinda like a yacht, too pricy for my peers"
Laws,Overtime,But on a lighter note like the room’s gettin' smaller
Laws,Overtime,Like the clothes of a wigger
King Los,I Get It In,"Okay, I'm serving these niggas like a waiter with a tray"
Yasiin Bey,History,I rock with the Roots like the Giving Tree
Yasiin Bey,History,We get it poppin' like a hit chorus
Nelly,Grillz,I got my mouth lookin' something like a disco ball (Yeah)
Nelly,Grillz,Mouth got colors like a Fruit Loop box
The Game,Its Okay One Blood,"Whole club rocking, like a six-four Impala"
Jesse McCartney,Leavin Rhythmic Remix,Like a referee whistle
Juvenile,3rd Ward Solja,"Sheisty like a splinter, and empty out the braids in the center"
Juvenile,3rd Ward Solja,Get buck like the fuck I'm glad I use Dial
Young Buck,Hold On,Seems like an ambulance always takes so long when you're hit
Young Buck,Hold On,Seems like an ambulance always takes so long when you're hit
Young Buck,Hold On,Seems like an ambulance always takes so long when you're hit
Earl Sweatshirt,Stapleton,I control them like your eyes when I'm tinking a glass
Earl Sweatshirt,Stapleton,I control them like your eyes when I'm tinking a glass
Earl Sweatshirt,Stapleton,My screws pretty loose mind fucked like the hair-doos
Lowkey,The Warning,You'll be as frail as the songs you got wealthy from
Lowkey,The Warning,"If you keep acting like a boy, people are gonna keep treating you like a boy. If you act like a man, people will treat you like a man. Just because you got more money and, you got a machine behind you.. doesn't make you a better lyricist than anyone, what makes you a better lyricist is lyrical skill and, right now you need to choose what you are"
Dyme Def,Let It Be,"People say, ""You look just like your dad"
Dolla,Georgia Nights,"And if today that day, then I’m-a die like a man"
Fabolous,Lullaby,"That could land your fly ass on the ground, just like a pilot"
Fabolous,Lullaby,Blow game like the late Dizzy Gillespie had
Fabolous,Lullaby,"Phantom doors open like the clock that goes ""cuckoo"" (cuckoo)"
Kano,Bassment,I'm something like a phenomenon
Tech N9ne,Harvey Dent,People come up to me and they say they like the older stuff you know what im sayin'
Tech N9ne,Harvey Dent,I mean if you don't like the new shit then go buy the older shit
ILL BILL,Only Time Will Tell,Like the Ugandan president Idi genocide like Rwandans in bondage
ILL BILL,Only Time Will Tell,"Beautiful like a funeral floral, you heard the stories: Murdering for glory"
RZA,The Birth,Still puzzled like the jigsaw
Skepta,Frisco,Frisco hold the road like a four four drive
Skepta,Frisco,Frisco hold the road like a four four drive (Can't forget)
Skepta,Frisco,I tried to phone God but it's like my nigga ain't got no reception
Skepta,Frisco,Frisco hold the road like a four four drive (Four four drive)
Wiz Khalifa,Taylor Gang,I’m the mayor and my bitch look like a flag girl
Beanie Sigel,Purple Rain,"ProMeth with the Tuss', some like the mizzix"
Beanie Sigel,Purple Rain,Or burn a peace pipe and cyphe like the Injuns
50 Cent,I Get Money,"Yeah, I smell like the vault, I used to sell dope"
50 Cent,I Get Money,"Bling like ""Blaow!, you like my style"
50 Cent,I Get Money,"Like a Teflon Don, boy, I run New York"
Bun B,Just Like That,"Persue that paper like a yellow bitch from H-Town (H-Town, yeah)"
Kano,Crazy,Just like a Milky Bar
Kano,Crazy,They get high off my bars like a fiend
Kano,Crazy,Just like a Milky Bar
Immortal Technique,Reverse Pimpology,"Cover ya head like a kufi, some rappers think that they live in a movie"
Immortal Technique,Reverse Pimpology,"I treat labels like the projects, cause I'm a hater (what!)"
Immortal Technique,Reverse Pimpology,You a pussy actin hard like a bitch cop
Immortal Technique,Reverse Pimpology,I'll drop you to the floor like a reverse wristlock
Immortal Technique,Reverse Pimpology,"Eat your food and shit on you, like a highway pit stop"
Crooked I,Make Me Better Week 8,Cover your meat with the shells for the cheese like a taco
Crooked I,Make Me Better Week 8,"Yeah, I spit like a Long Beach Pharoahe Monch"
Crooked I,Make Me Better Week 8,I’m g’d like a character from Robert De Niro’s Bronx
Lil Wayne,Loud Pipes,Let my ice bling bling like a 9 to 5
Lil Wayne,Loud Pipes,"Like my nigga Weezy said, we surrounded by ice"
Talib Kweli,Friends  Family,A student is only as good as his teachers' tutelage
Talib Kweli,Friends  Family,To snap back like the jaws of gators
Atmosphere,The Woman with the Tattooed Hands,And this one she explained looked like the devil
Lil Wayne,Whip It,It's Weezy F Baby like a newborn bitch
Lil Wayne,Whip It,I whip it like a slave like a motherfuckin' slave
Lil Wayne,Whip It,"Yes I whip it like a slave, yes I whip it like a slave"
Lil Wayne,Whip It,I whip it like a slave like a motherfuckin' slave
Lil Wayne,Whip It,Yep I whip it like a slave like a motherfuckn' slave
Lil Wayne,Whip It,"Then I whip it, I whip it, I whip it like a slave"
Lil Wayne,Whip It,Flyer then bird coupe like a two door
Lil Wayne,Whip It,No pork but I get paid like a piggy bank
Jeremih,Down on Me,"Somethin' like my wrist piece, everybody got to watchin it"
Jeremih,Down on Me,I like the way you grind with that booty on me
Jeremih,Down on Me,"She shaped just like an hourglass, see how fast an hour passed"
Jeremih,Down on Me,"Work it like a pro-pro-pro, sit and watch it go-go-go"
Jeremih,Down on Me,I like the way you grind with that booty on me
Jeremih,Down on Me,I like the way you grind with that booty on me
Beeda Weeda,Turfs Up,"Haulin' ass, like a sav"
Professor Elemental,Fighting Trousers,"I - Don't like your tweed, sir!"
Professor Elemental,Fighting Trousers,"I - Don't like your tweed, sir!"
Professor Elemental,Fighting Trousers,"I - Don't like your tweed, sir!"
Masta Ace,Spread It Out,"Hell no, gotta stay bent like an elbow"
Masta Ace,Spread It Out,"Taking it there, you know me like a relative"
Masta Ace,Spread It Out,"Like your Auntie, but making you want me"
Masta Ace,Spread It Out,Flaunt me in your CD like The Symphony
Masta Ace,Spread It Out,Cause we come then we go just like the quick cash
Daddy Yankee,Gasolina Remix,"I know you like my stomach, you can both call me gordo"
Missy Elliott,Gossip Folks,I fly like a bird
Busta Rhymes,Stop The Party Remix,Actin' like the club through!
Busta Rhymes,Stop The Party Remix,They know I put that work in like a pirate
Busta Rhymes,Stop The Party Remix,Carvin' your face is like the sound of a sweet demo
Busta Rhymes,Stop The Party Remix,Tony Starks play the front like my genitials
Missy Elliott,Work It,Go downtown and eat it like a vulture
Missy Elliott,Work It,Don't I look like a Halle Berry poster?
Missy Elliott,Work It,"I like the way you work that (Uh-huh, la-la-la-la)"
Jedi Mind Tricks,Gutta Music,"You think like a man with no hands, we could never build"
Jedi Mind Tricks,Gutta Music,"I'm like a sorcerer, Black Tibetan monks"
Big Daddy Kane,Show  Prove,"My gun is like a ho, it be taking mad niggas to bed"
Big Daddy Kane,Show  Prove,I got the style that get you open like a bag of smoke
Big Daddy Kane,Show  Prove,And I get girls open like a reggae song by Tiger
Big Daddy Kane,Show  Prove,And make mad noise like a Metallica record
Big Daddy Kane,Show  Prove,Like a crazy man from Cali son
Big Daddy Kane,Show  Prove,"My jams be packed like a Farrakhan rally, what?"
Big Daddy Kane,Show  Prove,"Of Ason, who carries on like a manager"
Kano,Slaves,Something like a spoon full of sugar to the medicine
F.L.Y. (Fast Life Yungstaz),Swag Surfin,"Swag super cool, blowing strong like a fan"
F.L.Y. (Fast Life Yungstaz),Swag Surfin,Surfing on the scene like a young Kelly Slater
F.L.Y. (Fast Life Yungstaz),Swag Surfin,Catch me with a bad chick and all her friends as fine as her
F.L.Y. (Fast Life Yungstaz),Swag Surfin,"Purp' got me geeked, smoking something like an Eddie Bauer"
F.L.Y. (Fast Life Yungstaz),Swag Surfin,"Gon' on Patron, taking shots like a camera"
F.L.Y. (Fast Life Yungstaz),Swag Surfin,"Flat screen, shawty, man I'm surfing like a channel"
F.L.Y. (Fast Life Yungstaz),Swag Surfin,Chain swinging hard like a boxer throwing punches
XV,H.A.M Heroes Amongst Men,"So get your money up, the new cat that be running rap was like a runner up"
Lawblog,We Monsters,"Spoken: Yo, sometimes it seems like the world is out to get you. There’s a hole in the ocean, Vanilla Ice has a reality show, Justin bieber. And it seems like there’s nowhere you can go to make sense of it all without being called a noob fag. But luckily there’s an oasis of hope in the barf desert that is the internets"
Kano,Dark Days,"Patient 'cos I treat it, kind of like my treatment"
Jedi Mind Tricks,Contra,"I soar like a condor ready for war, fuck the law!"
Jedi Mind Tricks,Heavenly Divine,We like a fuckin' bolt of lightnin'
Jedi Mind Tricks,Heavenly Divine,Like the first sins of Adam in the Garden
Ghostface Killah,The Grain,Bet you think I'm laying like a hyphen
Ghostface Killah,The Grain,One cop tapped the window glass like a cymbal crash
Ghostface Killah,The Grain,"Dipped like an Oreo cookie in cold milk, bold silk"
XV,Reset Button,"I never tire, hit the road like a Michelin"
XV,Reset Button,"I splurged on a chain, like a 1,000 DVDs and a car in my name"
Immortal Technique,No Me Importa,And rock stages like my last name was Santana
Immortal Technique,No Me Importa,Taking over the fucking country like a socialista
Aesop Rock,Coffee,Like a lost lamb returning to the fold
Mac Miller,Cruise Control,Life just like a movie plus the special feature bonus
Mac Miller,Cruise Control,They say the youngin' dream like a king (Like a king)
Jedi Mind Tricks,Speech Cobras,"I set off crowds, style wild like a circus"
Jedi Mind Tricks,Speech Cobras,Open the gates of Midian for the fangs like the flesh
Jedi Mind Tricks,Speech Cobras,Yet the critics are parasitic like a tape worm
Jedi Mind Tricks,The Deer Hunter,"Yo, my words sojourn, spread em like a slow germ, infected"
Jedi Mind Tricks,The Deer Hunter,"Global ink like the mobile link, make sure the pitch is clear"
Jedi Mind Tricks,The Deer Hunter,You're just like a bitch with no top on
Jedi Mind Tricks,Blood Reign,"It's fatal, like a NATO military armada"
Jedi Mind Tricks,Blood Reign,"Ripping M-I-C's like a pub in Dublin, Ireland"
Immortal Technique,Caught in the Hustle,"Shapin' the nation, like the blueprint of a Mason"
Immortal Technique,Caught in the Hustle,I'm like the little kids on TV that dig through the trash
Immortal Technique,Caught in the Hustle,"Like the Black Panthers, into the Bloods and the Crips"
Immortal Technique,Caught in the Hustle,"Spreadin' like a virus, runnin' rampant, out of control"
Mac Dre,Get Stupid Remix,We gon' get it crackin' like the Mardi Gras
Mac Dre,Get Stupid Remix,We gon' get it crackin' like the Mardi Gras
Mac Dre,Get Stupid Remix,"Baby, get dumb, act like a retard (Act like a retard)"
Mac Dre,Get Stupid Remix,You gotta get into it (Get into it) growl like a bear (Grr)
Mac Dre,Get Stupid Remix,We gon' get it crackin' like the Mardi Gras
Raekwon,Can It Be All So Simple Remix,Spoiled plus I played my hand like a royal flush
Ghostface Killah,Toney Sigel A.K.A. The Barrel Brothers,I stack a dollar like a whole rack of canned goods
Ghostface Killah,Toney Sigel A.K.A. The Barrel Brothers,"My knife work like the guillotine sword, cutting niggas"
Ghostface Killah,Toney Sigel A.K.A. The Barrel Brothers,Shotgun barrel leave it smoking like a broke stove
Ghostface Killah,Toney Sigel A.K.A. The Barrel Brothers,And I'm nothing like your father
Linkin Park,Waiting for the End,Just a voice like a riot rocking every revision
Linkin Park,Waiting for the End,"Just a voice like a riot, rocking every revision"
Lil Wayne,Brand New,I'm cold like a midnight
Lil Wayne,Brand New,Got to ride big 'cause I am like a captain
Ghostface Killah,Wu Banga 101,With the high flyin' death-defyin' flow like the Rebel
Ghostface Killah,Wu Banga 101,"Play, fullback strapped like a fuck, war at"
Ghostface Killah,Wu Banga 101,"Screamin' like a bitch, kicks to your face"
Ghostface Killah,Wu Banga 101,Shots to the body that shake like the bass
Wu-Tang Clan,Shaolin Brew,"Naturally blessed, yes, my rap is like a laser beam"
JAY-Z,So Ambitious,It's like I'm searching for kicks like a sneakerhead
XV,Fall Out The Sky,"To not feel like a star when they know who you are, I stay modest"
XV,Fall Out The Sky,That’s my insecurity like a mall cop
XV,Fall Out The Sky,But I’m trying to leave with something like a car lot
Kelis,Milkshake Remix,Lookin like a queen from Karnival
Lupe Fiasco,Handcuffs,He just like the broke niggas
Holocaust,Bats Fly in the Rain,"Wu-Tang Official, whistle like a missile"
South Park Mexican,I Must Be High,The diamonds in my emblem is cut like a princess
South Park Mexican,I Must Be High,As I represent Houston like the damn Whitney
Ghostface Killah,Daytona 500,"Run in his crib-o, get ditto, skate like a limo"
Ghostface Killah,Daytona 500,The track hit like the bangers in hundred watt boxes
Tyga,Toot It and Boot It,French kiss kiss like the french do on my fry
N.W.A,Parental Discretion Iz Advised,"But be warned, never will I leave like a regular"
N.W.A,Parental Discretion Iz Advised,"Earning money like a thief, but without a gauge"
N.W.A,Parental Discretion Iz Advised,Move like a snake when I'm mad; and then my tail rattle
N.W.A,Parental Discretion Iz Advised,"As they sit, rubbing their legs like a cricket"
Sayitainttone & Earlly Mac,On Deck,Im on deck like a patio set
Sayitainttone & Earlly Mac,On Deck,Im on deck like a ship wreck
Sayitainttone & Earlly Mac,On Deck,Im so on deck I feel like a pirate
Sayitainttone & Earlly Mac,On Deck,Boo im on deck like a genie
Slick Rick,Teenage Love,It's like a day where nothing seems to go your way
Slick Rick,Teenage Love,Do like the things that life is showin' you
Slim Thug,Gangsta,Like a dummy when he peeing I'm a fool with the flow
Fam-Lay,Rock N Roll,Nigga talk trash like the shit all sweet
Kid Cudi,Daps and Pounds,Hella like my dad in the sense of my ignorance
Immortal Technique,Freedom of Speech,Bitches know that I'm a freak like the Elephant Man
Immortal Technique,Crossing the Boundary,Like the ghost of Timothy McVeigh makin' a bomb
Immortal Technique,Crossing the Boundary,My dick is like my music but harder to swallow
Immortal Technique,Crossing the Boundary,"So, children, follow me, like the Pied Piper"
Immortal Technique,Crossing the Boundary,"I'm like the body snatchers, and your girl is gettin' sleepy"
Immortal Technique,Crossing the Boundary,Like the Roman legionnaire that stabbed Christ on the cross
